40476395520

     Summary: group layer ops

group_layer,group_conv_ops,ic0,ih0,iw0,i0_mem_type,iact0_size,ic1,ih1,iw1,i1_mem_type,iact1_size,oc0,oh0,ow0,o0_mem_type,oact0_size,oc1,oh1,ow1,o1_mem_type,oact1_size
Mul_2___model_2_cv1_act_Mul,1463086080,0,0,0,-1,0,0,0,0,-1,0,96,160,160,2,2457600,0,0,0,-1,0
Slice_0___model_2_Split,0,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
DummyMulConst_0,0,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
GeneratedPad_0,0,0,0,0,-1,0,0,0,0,-1,0,64,160,160,2,1638400,0,0,0,-1,0
GENERATED_0,117964800,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
DummyMulConst_1,0,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
GeneratedPad_1,0,0,0,0,-1,0,0,0,0,-1,0,64,160,160,2,1638400,0,0,0,-1,0
Add_0___model_2_m_0_Add,1108131840,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
DummyMulConst_2,0,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
GeneratedPad_2,0,0,0,0,-1,0,0,0,0,-1,0,64,160,160,2,1638400,0,0,0,-1,0
Add_1___model_2_m_1_Add,1108131840,0,0,0,-1,0,0,0,0,-1,0,48,160,160,2,1228800,0,0,0,-1,0
GeneratedPad_3,0,0,0,0,-1,0,0,0,0,-1,0,64,160,160,2,1638400,0,0,0,-1,0
Mul_9___model_4_cv1_act_Mul,2080112640,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
Slice_2___model_4_Split,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_3,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Slice_3___model_4_Split,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_4,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Add_2___model_4_m_0_Add,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_5,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Add_3___model_4_m_1_Add,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_6,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Add_4___model_4_m_2_Add,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_7,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Add_5___model_4_m_3_Add,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Mul_18___model_4_cv2_act_Mul,707788800,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
DummyMulConst_8,0,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
Mul_20___model_6_cv1_act_Mul,1297612800,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Slice_4___model_6_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_9,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Slice_5___model_6_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_10,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Add_6___model_6_m_0_Add,1088225280,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_11,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Add_7___model_6_m_1_Add,1088225280,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_12,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Add_8___model_6_m_2_Add,1088225280,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_13,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Add_9___model_6_m_3_Add,1088225280,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_29___model_6_cv2_act_Mul,707788800,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
DummyMulConst_14,0,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Mul_31___model_8_cv1_act_Mul,928972800,0,0,0,-1,0,0,0,0,-1,0,576,20,20,2,230400,0,0,0,-1,0
Slice_6___model_8_Split,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_15,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Slice_7___model_8_Split,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_16,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Add_10___model_8_m_0_Add,627056640,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_17,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Add_11___model_8_m_1_Add,627056640,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Conv2d_37___model_9_cv1_conv_Conv,331776000,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
MaxPool2d_0___model_9_m_MaxPool,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
MaxPool2d_1___model_9_m_1_MaxPool,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
MaxPool2d_2___model_9_m_2_MaxPool,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_37___model_9_cv2_act_Mul,265420800,0,0,0,-1,0,0,0,0,-1,0,576,20,20,2,230400,0,0,0,-1,0
Upsample_0___model_10_Resize,0,0,0,0,-1,0,0,0,0,-1,0,576,40,40,2,921600,0,0,0,-1,0
DummyMulConst_18,0,0,0,0,-1,0,0,0,0,-1,0,576,40,40,2,921600,0,0,0,-1,0
Mul_38___model_12_cv1_act_Mul,589824000,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Slice_8___model_12_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_20,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Slice_9___model_12_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_21,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_39___model_12_m_0_cv1_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_40___model_12_m_0_cv2_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_22,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_41___model_12_m_1_cv1_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_42___model_12_m_1_cv2_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_43___model_12_cv2_act_Mul,471859200,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Upsample_1___model_13_Resize,0,0,0,0,-1,0,0,0,0,-1,0,384,80,80,2,2457600,0,0,0,-1,0
DummyMulConst_23,0,0,0,0,-1,0,0,0,0,-1,0,384,80,80,2,2457600,0,0,0,-1,0
Mul_44___model_15_cv1_act_Mul,707788800,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
Slice_10___model_15_Split,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_25,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Slice_11___model_15_Split,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_26,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Mul_46___model_15_m_0_cv2_act_Mul,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
DummyMulConst_27,0,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Mul_48___model_15_m_1_cv2_act_Mul,1101496320,0,0,0,-1,0,0,0,0,-1,0,96,80,80,2,614400,0,0,0,-1,0
Mul_49___model_15_cv2_act_Mul,471859200,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
Conv2d_57___model_22_cv2_0_cv2_0_2_Conv,1093795840,0,0,0,-1,0,0,0,0,-1,0,64,80,80,1,409600,0,0,0,-1,0
Mul_50___model_16_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_52___model_22_cv3_0_cv3_0_0_act_Mul,2123366400,0,0,0,-1,0,0,0,0,-1,0,192,80,80,2,1228800,0,0,0,-1,0
Conv2d_58___model_22_cv3_0_cv3_0_2_Conv,2124595200,0,0,0,-1,0,0,0,0,-1,0,1,80,80,1,6400,0,0,0,-1,0
DummyMulConst_24,0,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Mul_55___model_18_cv1_act_Mul,353894400,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Slice_12___model_18_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_28,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Slice_13___model_18_Split,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_29,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_56___model_18_m_0_cv1_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_57___model_18_m_0_cv2_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
DummyMulConst_30,0,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_58___model_18_m_1_cv1_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_59___model_18_m_1_cv2_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Mul_60___model_18_cv2_act_Mul,471859200,0,0,0,-1,0,0,0,0,-1,0,384,40,40,2,614400,0,0,0,-1,0
Conv2d_70___model_22_cv2_1_cv2_1_2_Conv,472514560,0,0,0,-1,0,0,0,0,-1,0,64,40,40,1,102400,0,0,0,-1,0
Mul_61___model_19_act_Mul,530841600,0,0,0,-1,0,0,0,0,-1,0,384,20,20,2,153600,0,0,0,-1,0
Mul_63___model_22_cv3_1_cv3_1_0_act_Mul,1061683200,0,0,0,-1,0,0,0,0,-1,0,192,40,40,2,307200,0,0,0,-1,0
Conv2d_71___model_22_cv3_1_cv3_1_2_Conv,531148800,0,0,0,-1,0,0,0,0,-1,0,1,40,40,1,1600,0,0,0,-1,0
DummyMulConst_19,0,0,0,0,-1,0,0,0,0,-1,0,576,20,20,2,230400,0,0,0,-1,0
Mul_66___model_21_cv1_act_Mul,221184000,0,0,0,-1,0,0,0,0,-1,0,576,20,20,2,230400,0,0,0,-1,0
Slice_14___model_21_Split,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_31,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Slice_15___model_21_Split,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_32,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_67___model_21_m_0_cv1_act_Mul,298598400,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_68___model_21_m_0_cv2_act_Mul,298598400,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
DummyMulConst_33,0,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_69___model_21_m_1_cv1_act_Mul,298598400,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_70___model_21_m_1_cv2_act_Mul,298598400,0,0,0,-1,0,0,0,0,-1,0,288,20,20,2,115200,0,0,0,-1,0
Mul_71___model_21_cv2_act_Mul,265420800,0,0,0,-1,0,0,0,0,-1,0,576,20,20,2,230400,0,0,0,-1,0
Mul_72___model_22_cv2_2_cv2_2_0_act_Mul,132710400,0,0,0,-1,0,0,0,0,-1,0,64,20,20,2,25600,0,0,0,-1,0
Conv2d_81___model_22_cv2_2_cv2_2_2_Conv,16384000,0,0,0,-1,0,0,0,0,-1,0,64,20,20,1,25600,0,0,0,-1,0
Mul_73___model_22_cv3_2_cv3_2_0_act_Mul,398131200,0,0,0,-1,0,0,0,0,-1,0,192,20,20,2,76800,0,0,0,-1,0
Conv2d_82___model_22_cv3_2_cv3_2_2_Conv,132787200,0,0,0,-1,0,0,0,0,-1,0,1,20,20,1,400,0,0,0,-1,0
